date,year,month,month_name,day,weekday_name,weekday_number
2021-01-01,2021,1,January,1,Friday,5
2021-01-02,2021,1,January,2,Saturday,6
2021-01-03,2021,1,January,3,Sunday,0
2021-01-04,2021,1,January,4,Monday,1
2021-01-05,2021,1,January,5,Tuesday,2
2021-01-06,2021,1,January,6,Wednesday,3
2021-01-07,2021,1,January,7,Thursday,4
2021-01-08,2021,1,January,8,Friday,5
2021-01-09,2021,1,January,9,Saturday,6
2021-01-10,2021,1,January,10,Sunday,0
2021-01-11,2021,1,January,11,Monday,1
2021-01-12,2021,1,January,12,Tuesday,2
2021-01-13,2021,1,January,13,Wednesday,3
2021-01-14,2021,1,January,14,Thursday,4
2021-01-15,2021,1,January,15,Friday,5
2021-01-16,2021,1,January,16,Saturday,6
2021-01-17,2021,1,January,17,Sunday,0
2021-01-18,2021,1,January,18,Monday,1
2021-01-19,2021,1,January,19,Tuesday,2
2021-01-20,2021,1,January,20,Wednesday,3
2021-01-21,2021,1,January,21,Thursday,4
2021-01-22,2021,1,January,22,Friday,5
2021-01-23,2021,1,January,23,Saturday,6
2021-01-24,2021,1,January,24,Sunday,0
2021-01-25,2021,1,January,25,Monday,1
2021-01-26,2021,1,January,26,Tuesday,2
2021-01-27,2021,1,January,27,Wednesday,3
2021-01-28,2021,1,January,28,Thursday,4
2021-01-29,2021,1,January,29,Friday,5
2021-01-30,2021,1,January,30,Saturday,6
2021-01-31,2021,1,January,31,Sunday,0
2021-02-01,2021,2,February,1,Monday,1
2021-02-02,2021,2,February,2,Tuesday,2
2021-02-03,2021,2,February,3,Wednesday,3
2021-02-04,2021,2,February,4,Thursday,4
2021-02-05,2021,2,February,5,Friday,5
2021-02-06,2021,2,February,6,Saturday,6
2021-02-07,2021,2,February,7,Sunday,0
2021-02-08,2021,2,February,8,Monday,1
2021-02-09,2021,2,February,9,Tuesday,2
2021-02-10,2021,2,February,10,Wednesday,3
2021-02-11,2021,2,February,11,Thursday,4
2021-02-12,2021,2,February,12,Friday,5
2021-02-13,2021,2,February,13,Saturday,6
2021-02-14,2021,2,February,14,Sunday,0
2021-02-15,2021,2,February,15,Monday,1
2021-02-16,2021,2,February,16,Tuesday,2
2021-02-17,2021,2,February,17,Wednesday,3
2021-02-18,2021,2,February,18,Thursday,4
2021-02-19,2021,2,February,19,Friday,5
2021-02-20,2021,2,February,20,Saturday,6
2021-02-21,2021,2,February,21,Sunday,0
2021-02-22,2021,2,February,22,Monday,1
2021-02-23,2021,2,February,23,Tuesday,2
2021-02-24,2021,2,February,24,Wednesday,3
2021-02-25,2021,2,February,25,Thursday,4
2021-02-26,2021,2,February,26,Friday,5
2021-02-27,2021,2,February,27,Saturday,6
2021-02-28,2021,2,February,28,Sunday,0
2021-03-01,2021,3,March,1,Monday,1
2021-03-02,2021,3,March,2,Tuesday,2
2021-03-03,2021,3,March,3,Wednesday,3
2021-03-04,2021,3,March,4,Thursday,4
2021-03-05,2021,3,March,5,Friday,5
2021-03-06,2021,3,March,6,Saturday,6
2021-03-07,2021,3,March,7,Sunday,0
2021-03-08,2021,3,March,8,Monday,1
2021-03-09,2021,3,March,9,Tuesday,2
2021-03-10,2021,3,March,10,Wednesday,3
2021-03-11,2021,3,March,11,Thursday,4
2021-03-12,2021,3,March,12,Friday,5
2021-03-13,2021,3,March,13,Saturday,6
2021-03-14,2021,3,March,14,Sunday,0
2021-03-15,2021,3,March,15,Monday,1
2021-03-16,2021,3,March,16,Tuesday,2
2021-03-17,2021,3,March,17,Wednesday,3
2021-03-18,2021,3,March,18,Thursday,4
2021-03-19,2021,3,March,19,Friday,5
2021-03-20,2021,3,March,20,Saturday,6
2021-03-21,2021,3,March,21,Sunday,0
2021-03-22,2021,3,March,22,Monday,1
2021-03-23,2021,3,March,23,Tuesday,2
2021-03-24,2021,3,March,24,Wednesday,3
2021-03-25,2021,3,March,25,Thursday,4
2021-03-26,2021,3,March,26,Friday,5
2021-03-27,2021,3,March,27,Saturday,6
2021-03-28,2021,3,March,28,Sunday,0
2021-03-29,2021,3,March,29,Monday,1
2021-03-30,2021,3,March,30,Tuesday,2
2021-03-31,2021,3,March,31,Wednesday,3
2021-04-01,2021,4,April,1,Thursday,4
2021-04-02,2021,4,April,2,Friday,5
2021-04-03,2021,4,April,3,Saturday,6
2021-04-04,2021,4,April,4,Sunday,0
2021-04-05,2021,4,April,5,Monday,1
2021-04-06,2021,4,April,6,Tuesday,2
2021-04-07,2021,4,April,7,Wednesday,3
2021-04-08,2021,4,April,8,Thursday,4
2021-04-09,2021,4,April,9,Friday,5
2021-04-10,2021,4,April,10,Saturday,6
2021-04-11,2021,4,April,11,Sunday,0
2021-04-12,2021,4,April,12,Monday,1
2021-04-13,2021,4,April,13,Tuesday,2
2021-04-14,2021,4,April,14,Wednesday,3
2021-04-15,2021,4,April,15,Thursday,4
2021-04-16,2021,4,April,16,Friday,5
2021-04-17,2021,4,April,17,Saturday,6
2021-04-18,2021,4,April,18,Sunday,0
2021-04-19,2021,4,April,19,Monday,1
2021-04-20,2021,4,April,20,Tuesday,2
2021-04-21,2021,4,April,21,Wednesday,3
2021-04-22,2021,4,April,22,Thursday,4
2021-04-23,2021,4,April,23,Friday,5
2021-04-24,2021,4,April,24,Saturday,6
2021-04-25,2021,4,April,25,Sunday,0
2021-04-26,2021,4,April,26,Monday,1
2021-04-27,2021,4,April,27,Tuesday,2
2021-04-28,2021,4,April,28,Wednesday,3
2021-04-29,2021,4,April,29,Thursday,4
2021-04-30,2021,4,April,30,Friday,5
2021-05-01,2021,5,May,1,Saturday,6
2021-05-02,2021,5,May,2,Sunday,0
2021-05-03,2021,5,May,3,Monday,1
2021-05-04,2021,5,May,4,Tuesday,2
2021-05-05,2021,5,May,5,Wednesday,3
2021-05-06,2021,5,May,6,Thursday,4
2021-05-07,2021,5,May,7,Friday,5
2021-05-08,2021,5,May,8,Saturday,6
2021-05-09,2021,5,May,9,Sunday,0
2021-05-10,2021,5,May,10,Monday,1
2021-05-11,2021,5,May,11,Tuesday,2
2021-05-12,2021,5,May,12,Wednesday,3
2021-05-13,2021,5,May,13,Thursday,4
2021-05-14,2021,5,May,14,Friday,5
2021-05-15,2021,5,May,15,Saturday,6
2021-05-16,2021,5,May,16,Sunday,0
2021-05-17,2021,5,May,17,Monday,1
2021-05-18,2021,5,May,18,Tuesday,2
2021-05-19,2021,5,May,19,Wednesday,3
2021-05-20,2021,5,May,20,Thursday,4
2021-05-21,2021,5,May,21,Friday,5
2021-05-22,2021,5,May,22,Saturday,6
2021-05-23,2021,5,May,23,Sunday,0
2021-05-24,2021,5,May,24,Monday,1
2021-05-25,2021,5,May,25,Tuesday,2
2021-05-26,2021,5,May,26,Wednesday,3
2021-05-27,2021,5,May,27,Thursday,4
2021-05-28,2021,5,May,28,Friday,5
2021-05-29,2021,5,May,29,Saturday,6
2021-05-30,2021,5,May,30,Sunday,0
2021-05-31,2021,5,May,31,Monday,1
